Repair Level,ALCABUS,PRIRCAT,TMSRVC,SEX1,RACE,RELTYP,age_1st_arrest,DRUGAB,RLAGE,NFRCTNS
0.0,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957
0.1,0.7025011651390399,0.6990834239552587,0.7002485629951841,0.7033556004349852,0.7014137020351096,0.7023458132670499,0.7019574335870747,0.7040546838589405,0.6991610998912536,0.7043653876029207
0.2,0.702578841075035,0.6922479415876961,0.6967531458754078,0.6995494795712288,0.7001708870591891,0.699937859251204,0.6980736367873233,0.7017244057790897,0.694655895603542,0.70281186888302
0.3,0.6997825073792139,0.6861115426440889,0.6953549790274973,0.6983066645953083,0.697296877427373,0.6982289886593134,0.6963647661954326,0.7014137020351096,0.6889078763399099,0.7002485629951841
0.4,0.7017244057790897,0.6791207084045363,0.6886748485319248,0.6957433587074724,0.694500543731552,0.6939568121795867,0.6922479415876961,0.7002485629951841,0.6823054217803325,0.6989280720832686
0.5,0.6975299052353581,0.6705763554450831,0.6871213298120242,0.6954326549634923,0.6931023768836414,0.68921858008389,0.691859561907721,0.6990057480192636,0.6779555693646109,0.6986173683392884
0.6,0.6967531458754078,0.6626534099735902,0.6821500699083424,0.6924032934596862,0.686499922324064,0.6878204132359795,0.6868883020040392,0.6990057480192636,0.6670809383253068,0.6969084977473978
0.7,0.6964424421314277,0.6518564548702812,0.6781885971725959,0.6922479415876961,0.6836259126922479,0.6861892185800839,0.6880534410439646,0.6984620164672984,0.665061363989436,0.6964424421314277
0.8,0.6921702656517011,0.6360105639272953,0.6744601522448346,0.6915488581637409,0.6835482367562529,0.6795867640205064,0.6822277458443374,0.6964424421314277,0.651468075190306,0.6958987105794625
0.9,0.6898399875718503,0.6259903681839366,0.6732173372689141,0.688985552275905,0.6841696442442131,0.6858008389001088,0.6799751437004816,0.6948889234115271,0.6461084356066491,0.6924809693956813
1.0,0.68937393195588,0.6096007456889856,0.6681684014292372,0.6882087929159546,0.6804411993164518,0.6750038837967998,0.6798197918284915,0.6923256175236912,0.6358552120553053,0.6943451918595619
