Repair Level,WHITE,BLACK,UNKNOWN,ASIAN/PACIFIC ISLANDER,AMERICAN INDIAN/ALEUTIAN
0.0,1.0,0.5834351461032287,1.3406620251618422,1.343551382974691,0.4959081470624161
0.1,1.0,0.6091716177500244,1.3351094987056664,1.3509770538459587,0.4814541881601573
0.2,1.0,0.641385021843608,1.267611536556559,1.274145616641902,0.5200594353640418
0.3,1.0,0.6730280348419467,1.3005112885620727,1.280806572068708,0.575056011949216
0.4,1.0,0.697076648708065,1.2394571944796835,1.2412759137672547,0.6646676661669166
0.5,1.0,0.7411342757586701,1.2402169475710036,1.3002274450341167,0.6014657568865301
0.6,1.0,0.7922859517871988,1.299965811965812,1.261609195402299,0.7644444444444445
0.7,1.0,0.8230187308235895,1.1538657122181148,0.9472895131381678,0.729722857869311
0.8,1.0,0.8873536530478606,1.2126159407336787,1.1910040332273832,0.8133230054221534
0.9,1.0,0.9193905830433514,1.1343865347704118,1.1350850486465023,0.8777991042866282
1.0,1.0,0.9788853429751186,1.1480485326639174,1.0109048040082524,0.9971509971509972
