Repair Level,pred_race,sex,yearofbirth,height,weight,haircolor,eyecolor,zipcode,registrationdate,crime,convictiondate,convictionstate,incarcerated,absconder
0.0,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188
0.1,0.7127192982456141,0.7171052631578947,0.7347953216374269,0.6840643274853802,0.7017543859649122,0.7,0.708625730994152,0.6652046783625731,0.7277777777777777,0.7087719298245614,0.7228070175438597,0.7134502923976608,0.7105263157894737,0.7210526315789474
0.2,0.7096491228070175,0.7165204678362573,0.730701754385965,0.6855263157894737,0.683625730994152,0.7029239766081872,0.7058479532163743,0.6469298245614035,0.7277777777777777,0.7062865497076023,0.7228070175438597,0.7187134502923976,0.7143274853801169,0.7178362573099415
0.3,0.716374269005848,0.7093567251461989,0.7299707602339182,0.6711988304093567,0.6900584795321637,0.6890350877192982,0.7128654970760234,0.6255847953216375,0.7277777777777777,0.708187134502924,0.7228070175438597,0.7146198830409357,0.7109649122807018,0.7175438596491228
0.4,0.702485380116959,0.7092105263157895,0.7260233918128655,0.6763157894736842,0.6801169590643275,0.6997076023391813,0.7084795321637427,0.6033625730994152,0.7277777777777777,0.7073099415204679,0.7228070175438597,0.7159356725146199,0.7103801169590643,0.7201754385964912
0.5,0.6970760233918128,0.7046783625730995,0.720906432748538,0.668859649122807,0.6823099415204679,0.6935672514619883,0.7076023391812866,0.5723684210526315,0.7277777777777777,0.7064327485380117,0.7228070175438597,0.7112573099415205,0.7064327485380117,0.730701754385965
0.6,0.6953216374269006,0.695906432748538,0.7406432748538012,0.6659356725146199,0.6730994152046783,0.6799707602339181,0.702046783625731,0.5195906432748538,0.7277777777777777,0.7026315789473684,0.7228070175438597,0.702485380116959,0.702485380116959,0.7279239766081871
0.7,0.6948830409356725,0.6935672514619883,0.7374269005847953,0.6571637426900585,0.6691520467836257,0.6716374269005848,0.706140350877193,0.4558479532163743,0.7282163742690059,0.6992690058479533,0.722953216374269,0.6991228070175438,0.7062865497076023,0.7280701754385965
0.8,0.6735380116959064,0.6935672514619883,0.7331871345029239,0.6463450292397661,0.6630116959064327,0.6637426900584795,0.697953216374269,0.40014619883040936,0.7277777777777777,0.6942982456140351,0.7228070175438597,0.697953216374269,0.7062865497076023,0.7257309941520468
0.9,0.658625730994152,0.6818713450292397,0.743421052631579,0.6289473684210526,0.6505847953216374,0.6396198830409356,0.6891812865497076,0.3194444444444444,0.7283625730994152,0.6861111111111111,0.7225146198830409,0.7036549707602339,0.696345029239766,0.7172514619883041
1.0,0.6476608187134503,0.6834795321637427,0.7374269005847953,0.6286549707602339,0.6524853801169591,0.5950292397660819,0.6884502923976609,0.21637426900584794,0.7166666666666667,0.6789473684210526,0.7131578947368421,0.7030701754385965,0.7076023391812866,0.7274853801169591
