Repair Level,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander,Unknown
0.0,1.0,0.9998833954457568,1.0802342606149342,1.0202212461363267,1.0802342606149342
0.1,1.0,1.0134416446925034,1.0755102040816327,1.0157596371882087,1.0755102040816327
0.2,1.0,0.9986223680165889,1.0714493174557072,1.0714493174557072,1.0714493174557072
0.3,1.0,0.9927452503085034,0.9136087835885582,0.8290153777007289,1.0658769141866513
0.4,1.0,1.000815563564547,1.0686558516801854,1.0686558516801854,1.0686558516801854
0.5,1.0,0.9944929558870679,1.0637254901960784,1.0046296296296298,1.0637254901960784
0.6,1.0,1.0017140781342873,1.0714493174557072,1.0119243553748347,1.0714493174557072
0.7,1.0,1.0035565853065929,1.0686558516801854,1.0092860821423975,1.0686558516801854
0.8,1.0,0.9945551422033058,1.057626146788991,1.057626146788991,1.057626146788991
0.9,1.0,0.9925394481956256,1.0518962075848304,0.9350188511865161,1.0518962075848304
1.0,1.0,0.997670152072128,0.7285042853193254,0.9632445550333304,1.0199059994470556
