Repair Level,gas_label,asian_zip,total_pop,ln_median_household_income,pop_density,prop_female,prop_under18,median_age,avg_house_size,prop_with_some_college,prop_school_enrollment,prop_dropout,prop_asian_unemployed,asian_median_household_income,prop_commute_by_car,avg_commute_time
0.0,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113,0.8018120045300113
0.1,0.7976594941487354,0.7999244998112496,0.797281993204983,0.7312193280483201,0.7916194790486977,0.7912419781049452,0.7818044545111362,0.7976594941487354,0.8003020007550019,0.7916194790486977,0.7893544733861835,0.7942619856549641,0.7870894677236693,0.7946394865987165,0.7885994714986787,0.7391468478671197
0.2,0.7965269913174783,0.7935069837674594,0.797281993204983,0.6968667421668554,0.7840694601736504,0.7697244243110608,0.7719894299735749,0.7750094375235939,0.7727444318610797,0.7738769346923368,0.7670819177047943,0.7697244243110608,0.7685919214798037,0.7946394865987165,0.7738769346923368,0.7244243110607776
0.3,0.7942619856549641,0.7931294828237071,0.797281993204983,0.6708191770479426,0.7776519441298603,0.7591543978859947,0.7432993582483957,0.7557568893922235,0.7621744054360136,0.7504718761796905,0.7568893922234805,0.7519818799546999,0.7542468856172141,0.7946394865987165,0.7553793884484711,0.7146092865232163
0.4,0.7833144582861458,0.7818044545111362,0.797281993204983,0.6606266515666289,0.7716119290298226,0.7421668554171386,0.7319743299358248,0.7429218573046432,0.7451868629671574,0.7448093620234051,0.7482068705171763,0.7383918459796149,0.7417893544733862,0.7946394865987165,0.7527368818422046,0.7078142695356738
0.5,0.7738769346923368,0.7712344280860702,0.797281993204983,0.627029067572669,0.7633069082672707,0.7202718006795017,0.7164967912419781,0.7138542846357115,0.7115892789731975,0.7149867874669686,0.7161192902982257,0.7191392978482446,0.714231785579464,0.7946394865987165,0.7270668176670442,0.6844092110230275
0.6,0.7633069082672707,0.7697244243110608,0.797281993204983,0.6160815402038505,0.7550018875047187,0.700641751604379,0.704794261985655,0.7081917704794262,0.711211778029445,0.700641751604379,0.7032842582106456,0.700641751604379,0.6938467346168365,0.7946394865987165,0.7017742544356361,0.6742166855417139
0.7,0.7519818799546999,0.7663269158172895,0.797281993204983,0.5579463948659872,0.7557568893922235,0.6874292185730464,0.6919592298980748,0.6866742166855417,0.6866742166855417,0.676481691204228,0.6874292185730464,0.6896942242355606,0.6715741789354474,0.7946394865987165,0.6795016987542469,0.6417516043790109
0.8,0.7353718384295961,0.7663269158172895,0.797281993204983,0.47791619479048697,0.7474518686296716,0.6693091732729332,0.6696866742166856,0.6700641751604379,0.6715741789354474,0.6636466591166478,0.6681766704416761,0.6734616836542091,0.6666666666666666,0.7946394865987165,0.6632691581728954,0.6466591166477916
0.9,0.7221593053982635,0.7516043790109476,0.797281993204983,0.3729709324273311,0.7444318610796526,0.6557191392978482,0.6560966402416006,0.6549641374103435,0.6557191392978482,0.6526991317478293,0.6553416383540959,0.6583616459041147,0.6557191392978482,0.7946394865987165,0.6542091355228388,0.6738391845979615
1.0,0.7040392600981502,0.7421668554171386,0.7976594941487354,0.3491883729709324,0.7380143450358626,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.6508116270290676,0.7942619856549641,0.6508116270290676,0.6508116270290676
