Repair Level,asian_zip,total_pop,ln_median_household_income,pop_density,prop_female,prop_under18,median_age,avg_house_size,prop_with_some_college,prop_school_enrollment,prop_dropout,prop_asian_unemployed,asian_median_household_income,prop_commute_by_car,avg_commute_time
0.0,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354,0.7976594941487354
0.1,0.7950169875424689,0.7965269913174783,0.6240090600226501,0.7995469988674971,0.8082295205738015,0.8029445073612684,0.8116270290675727,0.8112495281238203,0.7753869384673462,0.807852019630049,0.8086070215175538,0.8089845224613061,0.8074745186862967,0.7957719894299736,0.7591543978859947
0.2,0.7885994714986787,0.7965269913174783,0.6107965269913175,0.7995469988674971,0.8089845224613061,0.7946394865987165,0.8070970177425444,0.8116270290675727,0.7591543978859947,0.812004530011325,0.802567006417516,0.807852019630049,0.8074745186862967,0.7855794639486599,0.766704416761042
0.3,0.7870894677236693,0.7965269913174783,0.5760664401661004,0.7995469988674971,0.7976594941487354,0.7776519441298603,0.7938844847112118,0.797281993204983,0.7380143450358626,0.79841449603624,0.79199697999245,0.8040770101925255,0.8074745186862967,0.7719894299735749,0.7772744431861079
0.4,0.7946394865987165,0.7965269913174783,0.5564363910909778,0.797281993204983,0.7863344658361646,0.7508493771234428,0.7734994337485843,0.7768969422423556,0.7013967534918837,0.7874669686674217,0.7704794261985655,0.7836919592298981,0.8074745186862967,0.7557568893922235,0.7648169120422801
0.5,0.787844469611174,0.7965269913174783,0.51679879199698,0.7923744809362023,0.75839939599849,0.7214043035107588,0.7421668554171386,0.7470743676859192,0.6779916949792375,0.7602869007172518,0.7368818422046055,0.7538693846734617,0.8074745186862967,0.7266893167232918,0.7818044545111362
0.6,0.7844469611174028,0.7965269913174783,0.46847867119667796,0.7874669686674217,0.7225368063420159,0.6961117402793507,0.7010192525481314,0.7055492638731596,0.6587391468478672,0.7274443186107965,0.7029067572668931,0.7327293318233296,0.8074745186862967,0.7093242733106833,0.7814269535673839
0.7,0.7780294450736127,0.7965269913174783,0.43035107587768967,0.7874669686674217,0.6795016987542469,0.6670441676104191,0.6802567006417516,0.6840317100792752,0.6583616459041147,0.6934692336730842,0.6772366930917327,0.6919592298980748,0.8074745186862967,0.6896942242355606,0.7712344280860702
0.8,0.7682144205360514,0.7965269913174783,0.41411853529633824,0.7848244620611552,0.6662891657229143,0.6602491506228766,0.6674216685541714,0.6644016610041525,0.6474141185352963,0.6681766704416761,0.6677991694979237,0.6666666666666666,0.8074745186862967,0.6719516798791997,0.762551906379766
0.9,0.7550018875047187,0.7965269913174783,0.37485843714609285,0.7742544356360891,0.6568516421291053,0.652321630804077,0.6591166477916195,0.6610041525103812,0.6481691204228011,0.6560966402416006,0.6579841449603624,0.6553416383540959,0.8074745186862967,0.6594941487353718,0.6915817289543224
1.0,0.7402793506983767,0.7965269913174783,0.34805587013967537,0.7772744431861079,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.6519441298603247,0.8074745186862967,0.6519441298603247,0.6519441298603247
