Disparate Impact,White,Black,Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,Other
0.9732676102429844,0.922514619883041,0.922514619883041,0.922514619883041,0.922514619883041,0.922514619883041,0.922514619883041
0.981113791468217,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193
0.9729293177124863,0.9220760233918128,0.9220760233918128,0.9220760233918128,0.9220760233918128,0.9220760233918128,0.9220760233918128
0.9431836801572995,0.9194444444444444,0.9194444444444444,0.9194444444444444,0.9194444444444444,0.9194444444444444,0.9194444444444444
0.8775547706066111,0.918859649122807,0.918859649122807,0.918859649122807,0.918859649122807,0.918859649122807,0.918859649122807
0.9756422610870766,0.9197368421052632,0.9197368421052632,0.9197368421052632,0.9197368421052632,0.9197368421052632,0.9197368421052632
0.939259198825161,0.92046783625731,0.92046783625731,0.92046783625731,0.92046783625731,0.92046783625731,0.92046783625731
1.0278392143335429,0.9236842105263158,0.9236842105263158,0.9236842105263158,0.9236842105263158,0.9236842105263158,0.9236842105263158
0.9085806425276562,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193,0.9206140350877193
0.9279970981198233,0.927046783625731,0.927046783625731,0.927046783625731,0.927046783625731,0.927046783625731,0.927046783625731
1.0204472199838839,0.9248538011695906,0.9248538011695906,0.9248538011695906,0.9248538011695906,0.9248538011695906,0.9248538011695906
