Repair Level,asian_zip,total_pop,ln_median_household_income,pop_density,prop_female,prop_under18,median_age,avg_house_size,prop_with_some_college,prop_school_enrollment,prop_dropout,prop_asian_unemployed,asian_median_household_income,prop_commute_by_car,avg_commute_time
0.0,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707,0.7633069082672707
0.1,0.7587768969422424,0.7629294073235183,0.7229143072857682,0.7651944129860324,0.7614194035485089,0.7550018875047187,0.7633069082672707,0.6670441676104191,0.7568893922234805,0.763684409211023,0.7644394110985278,0.7621744054360136,0.7644394110985278,0.7557568893922235,0.7651944129860324
0.2,0.7614194035485089,0.7629294073235183,0.72480181200453,0.7610419026047565,0.753114382785957,0.7451868629671574,0.7553793884484711,0.6538316345790864,0.7429218573046432,0.7508493771234428,0.7519818799546999,0.75839939599849,0.7644394110985278,0.7357493393733484,0.7542468856172141
0.3,0.7534918837297093,0.7629294073235183,0.7104567761419404,0.7538693846734617,0.7451868629671574,0.7383918459796149,0.7380143450358626,0.6545866364665912,0.7319743299358248,0.7365043412608532,0.7466968667421668,0.7466968667421668,0.7644394110985278,0.7361268403171007,0.7429218573046432
0.4,0.7516043790109476,0.7629294073235183,0.7164967912419781,0.7463193657984145,0.7387693469233673,0.7232918082295205,0.7297093242733107,0.6440166100415251,0.7210268025670065,0.7285768214420536,0.7236693091732729,0.7383918459796149,0.7644394110985278,0.7365043412608532,0.7353718384295961
0.5,0.7478293695734239,0.7629294073235183,0.7266893167232918,0.739524348810872,0.7229143072857682,0.7180067950169875,0.7255568138920347,0.6436391090977728,0.711211778029445,0.7202718006795017,0.7176292940732352,0.730086825217063,0.7644394110985278,0.7281993204983013,0.7229143072857682
0.6,0.7406568516421291,0.7629294073235183,0.7225368063420159,0.7414118535296338,0.710079275198188,0.7104567761419404,0.7115892789731975,0.6194790486976217,0.7059267648169121,0.704794261985655,0.7085692714231786,0.7221593053982635,0.7644394110985278,0.7157417893544734,0.7180067950169875
0.7,0.7278218195545488,0.7629294073235183,0.7130992827482069,0.7387693469233673,0.7025292563231408,0.7059267648169121,0.6976217440543602,0.5934314835787089,0.7108342770856927,0.7002642506606267,0.7013967534918837,0.6998867497168743,0.7644394110985278,0.7127217818044546,0.7032842582106456
0.8,0.7221593053982635,0.7629294073235183,0.7176292940732352,0.7323518308795772,0.7044167610419027,0.7017742544356361,0.7017742544356361,0.5545488863722159,0.6961117402793507,0.7017742544356361,0.7002642506606267,0.7010192525481314,0.7644394110985278,0.6991317478293696,0.6979992449981125
0.9,0.7127217818044546,0.7629294073235183,0.6983767459418648,0.7244243110607776,0.6923367308418271,0.6957342393355983,0.6938467346168365,0.4292185730464326,0.6983767459418648,0.6949792374480936,0.6938467346168365,0.6942242355605889,0.7640619101547754,0.7021517553793885,0.6942242355605889
1.0,0.7074367685919215,0.7629294073235183,0.6908267270668177,0.7195167987919969,0.6908267270668177,0.6908267270668177,0.6908267270668177,0.3091732729331823,0.6908267270668177,0.6908267270668177,0.6908267270668177,0.6908267270668177,0.7644394110985278,0.6908267270668177,0.6908267270668177
