Repair Level,pr_label,asian_zip,total_pop,ln_median_household_income,pop_density,prop_female,prop_under18,median_age,avg_house_size,prop_with_some_college,prop_school_enrollment,prop_dropout,prop_asian_unemployed,asian_median_household_income,prop_commute_by_car,avg_commute_time
0.0,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023,0.763684409211023
0.1,0.7587768969422424,0.7568893922234805,0.766704416761042,0.748961872404681,0.7538693846734617,0.7580218950547376,0.7504718761796905,0.7353718384295961,0.7425443563608909,0.7723669309173273,0.7633069082672707,0.7678369195922989,0.7565118912797282,0.7587768969422424,0.762551906379766,0.7516043790109476
0.2,0.7497168742921857,0.7470743676859192,0.766704416761042,0.7417893544733862,0.7497168742921857,0.7391468478671197,0.7312193280483201,0.7104567761419404,0.7368818422046055,0.7508493771234428,0.7334843337108343,0.7459418648546622,0.7432993582483957,0.7587768969422424,0.7497168742921857,0.7266893167232918
0.3,0.7482068705171763,0.739524348810872,0.766704416761042,0.7334843337108343,0.7380143450358626,0.7353718384295961,0.7293318233295584,0.7032842582106456,0.7210268025670065,0.7432993582483957,0.7349943374858438,0.7417893544733862,0.7451868629671574,0.7587768969422424,0.7440543601359003,0.7195167987919969
0.4,0.7278218195545488,0.7297093242733107,0.766704416761042,0.7285768214420536,0.7180067950169875,0.7202718006795017,0.72480181200453,0.672329180822952,0.7176292940732352,0.7410343525858815,0.7323518308795772,0.7293318233295584,0.7410343525858815,0.7587768969422424,0.7308418271045678,0.7172517931294828
0.5,0.7195167987919969,0.7172517931294828,0.766704416761042,0.7036617591543979,0.7127217818044546,0.7104567761419404,0.6995092487731219,0.6813892034730087,0.7104567761419404,0.7183842959607399,0.7236693091732729,0.7191392978482446,0.7157417893544734,0.7587768969422424,0.7164967912419781,0.6968667421668554
0.6,0.710079275198188,0.7146092865232163,0.766704416761042,0.6681766704416761,0.7002642506606267,0.6851642129105323,0.6896942242355606,0.6813892034730087,0.6874292185730464,0.7085692714231786,0.7172517931294828,0.7089467723669309,0.720649301623254,0.7587768969422424,0.7138542846357115,0.6727066817667045
0.7,0.7021517553793885,0.7032842582106456,0.766704416761042,0.714231785579464,0.6942242355605889,0.7074367685919215,0.7081917704794262,0.6987542468856173,0.720649301623254,0.7123442808607021,0.7108342770856927,0.7078142695356738,0.6957342393355983,0.7587768969422424,0.7108342770856927,0.7115892789731975
0.8,0.6923367308418271,0.6749716874292185,0.766704416761042,0.7017742544356361,0.6844092110230275,0.7051717629294073,0.6991317478293696,0.7115892789731975,0.7074367685919215,0.6957342393355983,0.7021517553793885,0.6968667421668554,0.6851642129105323,0.7587768969422424,0.7063042657606644,0.7002642506606267
0.9,0.6715741789354474,0.6625141562853907,0.766704416761042,0.6908267270668177,0.6787466968667422,0.6908267270668177,0.6919592298980748,0.6919592298980748,0.6991317478293696,0.6927142317855794,0.6874292185730464,0.6915817289543224,0.6727066817667045,0.7587768969422424,0.6976217440543602,0.6919592298980748
1.0,0.6526991317478293,0.6474141185352963,0.7670819177047943,0.6889392223480558,0.6557191392978482,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.6889392223480558,0.75839939599849,0.6889392223480558,0.6889392223480558
