Repair Level,White,Black,Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,Other
0.0,1.0,1.0199092071501517,1.2538763108889543,1.0488833326822156,1.0821221323319192,1.0758110359698128
0.1,1.0,1.0156712178339744,1.3129784688995216,1.0447049162958255,1.0440517729158807,1.2073365231259967
0.2,1.0,1.0249834690966413,1.2679621875078362,1.0390695536002827,1.1013978203412413,1.100925252626564
0.3,1.0,1.0298604010268892,1.2311399351459216,1.0497093427899113,1.0718373286661027,1.1707158892491893
0.4,1.0,1.0098864094325888,1.1967780668401042,1.0124464888723443,1.0301066532035403,1.1361817090254152
0.5,1.0,1.0240226346818213,1.201037376048818,1.0311219215567042,1.0379217030488905,1.1163488431222983
0.6,1.0,1.0284943492437506,1.2140146581884117,1.0438438805251034,1.0424541122325102,1.1985495033070304
0.7,1.0,1.0259514244224295,1.1591826386776192,1.005702197609712,1.0530784544168086,1.0747388702971301
0.8,1.0,1.010827055492068,1.1237516869095818,1.0107115763920498,0.9757789290186354,1.060884459669885
0.9,1.0,0.9820938686703516,1.044001567193418,1.0004185392771001,0.9696034924786098,0.9095468199033565
1.0,1.0,0.9971208487043821,0.9673348774059579,0.9682368213475954,1.0073060108257408,0.8867236376221282
