id,GEOID10_BlkGrp,GEOID10_Tract,geo_code_precision
338,131150002012,13115000201,USAStreetAddr
339,130630403023,13063040302,USAStreetAddr
941,130510027001,13051002700,USAStreetAddr
942,,,USAZipcode
940,131790102072,13179010207,USAStreetAddr
945,132999504003,13299950400,USAStreetAddr
332,,,USAZipcode
946,130890232142,13089023214,USAStreetAddr
333,,,USAZipcode
943,132130102023,13213010202,USAStreetAddr
330,,,USAZipcode
331,,,USAZipcode
944,130719707012,13071970701,USAStreetAddr
336,,,USAZipcode
949,,,USAZipcode
337,130890233142,13089023314,USAStreetAddr
334,130890232062,13089023206,USAStreetAddr
947,,,USAZipcode
335,,,USAZipcode
948,131210120001,13121012000,USAStreetAddr
748,130339507002,13033950700,USAStreetAddr
531,,,USAZipcode
747,131319503003,13131950300,USAStreetAddr
530,131390016081,13139001608,USAStreetAddr
746,131210040002,13121004000,USAStreetAddr
745,131350507233,13135050723,USAStreetAddr
535,,,USAZipcode
534,,,USAZipcode
533,,,USAZipcode
532,,,USAZipcode
749,,,USAZipcode
539,130771703052,13077170305,USAStreetAddr
740,,,USAZipcode
538,131639602001,13163960200,USAStreetAddr
537,132150030003,13215003000,USAStreetAddr
536,,,USAZipcode
744,130630404172,13063040417,USAStreetAddr
743,130810105002,13081010500,USAStreetAddr
742,131150013001,13115001300,USAStreetAddr
741,,,USAZipcode
349,130510012001,13051001200,USAStreetAddr
930,,,USAZipcode
931,130299203032,13029920303,USAStreetAddr
932,,,USAZipcode
341,130159601022,13015960102,USAStreetAddr
933,132519704004,13251970400,USAStreetAddr
342,130339501001,13033950100,USAStreetAddr
343,130810103003,13081010300,USAStreetAddr
934,132971105072,13297110507,USAStreetAddr
344,130210129002,13021012900,USAStreetAddr
935,,,USAZipcode
345,131639601001,13163960100,USAStreetAddr
936,132619502001,13261950200,USAStreetAddr
346,131999707004,13199970700,USAStreetAddr
937,131210057001,13121005700,USAStreetAddr
347,,,USAZipcode
938,130670302382,13067030238,USAStreetAddr
348,130950103023,13095010302,USAStreetAddr
939,131299703003,13129970300,USAStreetAddr
735,130670301031,13067030103,USAStreetAddr
540,131370006023,13137000602,USAStreetAddr
3,133119502013,13311950201,USAStreetAddr
734,130159606001,13015960600,USAStreetAddr
2,,,USAZipcode
929,132779604001,13277960400,USAStreetAddr
737,133130004006,13313000400,USAStreetAddr
542,131370003003,13137000300,USAStreetAddr
1,131210078021,13121007802,USAStreetAddr
736,131619601005,13161960100,USAStreetAddr
541,131370006021,13137000602,USAStreetAddr
739,131390015011,13139001501,USAStreetAddr
544,132231205025,13223120502,USAStreetAddr
7,,,USAZipcode
738,130670315052,13067031505,USAStreetAddr
543,131790102062,13179010206,USAStreetAddr
6,131390003042,13139000304,USAStreetAddr
546,131198901023,13119890102,USAStreetAddr
5,132270504001,13227050400,USAStreetAddr
340,,,USAZipcode
545,130670303101,13067030310,USAStreetAddr
4,131390013021,13139001302,USAStreetAddr
548,130630404123,13063040412,USAStreetAddr
547,131210108002,13121010800,USAStreetAddr
9,130890219103,13089021910,USAStreetAddr
