Label,Rules,Quality,Score
0,IF Hg<=0.0013 AND Ca>=0.1875 AND Fe>=0.0465 THEN Outcome=DWH,0.8,1.1250000000000002
1,IF V>=0.0015 THEN Outcome=oil,0.75,0.37500000000000006
2,IF Hg>=0.0019 THEN Outcome=peat,0.571428571429,0.37500000000000006
3,IF TRUE THEN Outcome=mud,0.5,0
