Repair Level,WHITE,BLACK,HISPANIC
0.0,1.0,1.027909890332195,0.5410339009050468
0.1,1.0,1.0256096762265745,0.568637092808603
0.2,1.0,1.0273987575333658,0.6147054170655126
0.3,1.0,1.0241210266970262,0.6464217964462781
0.4,1.0,1.016423665590859,0.6473883723714137
0.5,1.0,1.0238046437193709,0.7028304518679708
0.6,1.0,1.0198526575657956,0.7535724712689439
0.7,1.0,1.0172794892533708,0.8412026385627581
0.8,1.0,1.007595879138656,0.875227471462671
0.9,1.0,1.004396461535356,0.9456407157748256
1.0,1.0,0.9978867796739774,1.010706552041597
