Disparate Impact,WHITE,BLACK,HISPANIC
0.5410339009050468,0.8299054488741593,0.8299054488741593,0.8299054488741593
0.568637092808603,0.8254215810507847,0.8254215810507847,0.8254215810507847
0.6147054170655126,0.8222048932644507,0.8222048932644507,0.8222048932644507
0.6464217964462781,0.8171361731162882,0.8171361731162882,0.8171361731162882
0.6473883723714137,0.8149917145920655,0.8149917145920655,0.8149917145920655
0.7028304518679708,0.8130422068427722,0.8130422068427722,0.8130422068427722
0.7535724712689439,0.8050492250706697,0.8050492250706697,0.8050492250706697
0.8412026385627581,0.8075835851447509,0.8075835851447509,0.8075835851447509
0.875227471462671,0.8000779803099717,0.8000779803099717,0.8000779803099717
0.9456407157748256,0.800272931084901,0.800272931084901,0.800272931084901
1.010706552041597,0.799103226435325,0.799103226435325,0.799103226435325
