Repair Level,White,Black,American Indian or Alaskan Native,Asian or Pacific Islander,Unknown
0.0,1.0,0.9961339344595463,0.9735790022596906,0.9885571407559934,1.0709369024856596
0.1,1.0,0.9974861951680288,0.9737651906326606,1.0711417096959266,1.0711417096959266
0.2,1.0,0.996361410388059,0.9715356195035647,1.027585751398001,0.9715356195035647
0.3,1.0,0.9999760768515649,0.8728831168831169,1.0668571428571427,1.0668571428571427
0.4,1.0,0.9965826588680524,1.0642219266578,1.0232903140940384,1.0642219266578
0.5,1.0,0.9918477274351314,1.060393790230973,1.019609413683628,1.060393790230973
0.6,1.0,1.0002771889173732,1.0607954545454545,1.0199956293706294,1.0607954545454545
0.7,1.0,0.9953757175808011,1.0555974368639276,1.0149975354460843,1.0555974368639276
0.8,1.0,0.9898050158730674,0.9531670126952794,1.048483713964807,0.9531670126952794
0.9,1.0,1.0006553182378253,0.9554922465412239,1.0510414711953462,1.0510414711953462
1.0,1.0,0.9975474590356038,0.9501433442467219,1.045157678671394,0.9501433442467219
