Disparate Impact,W,B
1.0024338374291115,0.8939828080229226,0.8939828080229226
1.0132075471698112,0.8954154727793696,0.8954154727793696
1.0145318441064637,0.8882521489971347,0.8882521489971347
1.0049788135593218,0.8954154727793696,0.8954154727793696
0.9967810150375939,0.8954154727793696,0.8954154727793696
1.0017704372623573,0.8853868194842407,0.8853868194842407
1.0112994350282485,0.8997134670487106,0.8997134670487106
1.020912547528517,0.8868194842406877,0.8868194842406877
0.9741924157303369,0.8939828080229226,0.8939828080229226
1.013329326923077,0.8882521489971347,0.8882521489971347
0.9985004798464491,0.8724928366762178,0.8724928366762178
