Disparate Impact,WHITE,BLACK,UNKNOWN,ASIAN/PACIFIC ISLANDER,AMERICAN INDIAN/ALEUTIAN
0.4959081470624161,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957,0.7047537672828957
0.4814541881601573,0.7014137020351096,0.7014137020351096,0.7014137020351096,0.7014137020351096,0.7014137020351096
0.5200594353640418,0.7001708870591891,0.7001708870591891,0.7001708870591891,0.7001708870591891,0.7001708870591891
0.575056011949216,0.697296877427373,0.697296877427373,0.697296877427373,0.697296877427373,0.697296877427373
0.6646676661669166,0.694500543731552,0.694500543731552,0.694500543731552,0.694500543731552,0.694500543731552
0.6014657568865301,0.6931023768836414,0.6931023768836414,0.6931023768836414,0.6931023768836414,0.6931023768836414
0.7644444444444445,0.686499922324064,0.686499922324064,0.686499922324064,0.686499922324064,0.686499922324064
0.729722857869311,0.6836259126922479,0.6836259126922479,0.6836259126922479,0.6836259126922479,0.6836259126922479
0.8133230054221534,0.6835482367562529,0.6835482367562529,0.6835482367562529,0.6835482367562529,0.6835482367562529
0.8777991042866282,0.6841696442442131,0.6841696442442131,0.6841696442442131,0.6841696442442131,0.6841696442442131
0.9971509971509972,0.6804411993164518,0.6804411993164518,0.6804411993164518,0.6804411993164518,0.6804411993164518
