Disparate Impact,White,Black,Hispanic,American Indian or Alaskan Native,Asian or Pacific Islander,Other
1.0758110359698128,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188,0.7252923976608188
1.2073365231259967,0.7127192982456141,0.7127192982456141,0.7127192982456141,0.7127192982456141,0.7127192982456141,0.7127192982456141
1.100925252626564,0.7096491228070175,0.7096491228070175,0.7096491228070175,0.7096491228070175,0.7096491228070175,0.7096491228070175
1.1707158892491893,0.716374269005848,0.716374269005848,0.716374269005848,0.716374269005848,0.716374269005848,0.716374269005848
1.1361817090254152,0.702485380116959,0.702485380116959,0.702485380116959,0.702485380116959,0.702485380116959,0.702485380116959
1.1163488431222983,0.6970760233918128,0.6970760233918128,0.6970760233918128,0.6970760233918128,0.6970760233918128,0.6970760233918128
1.1985495033070304,0.6953216374269006,0.6953216374269006,0.6953216374269006,0.6953216374269006,0.6953216374269006,0.6953216374269006
1.0747388702971301,0.6948830409356725,0.6948830409356725,0.6948830409356725,0.6948830409356725,0.6948830409356725,0.6948830409356725
1.060884459669885,0.6735380116959064,0.6735380116959064,0.6735380116959064,0.6735380116959064,0.6735380116959064,0.6735380116959064
0.9095468199033565,0.658625730994152,0.658625730994152,0.658625730994152,0.658625730994152,0.658625730994152,0.658625730994152
0.8867236376221282,0.6476608187134503,0.6476608187134503,0.6476608187134503,0.6476608187134503,0.6476608187134503,0.6476608187134503
