Repair Level,WHITE,BLACK,HISPANIC
0.0,1.0,1.0296846011131724,0.9839208410636981
0.1,1.0,1.0296846011131724,0.9839208410636981
0.2,1.0,1.018348623853211,0.9957186544342508
0.3,1.0,1.0432330827067668,1.0200501253132832
0.4,1.0,1.0296846011131724,0.9839208410636981
0.5,1.0,1.0239852398523985,1.001230012300123
0.6,1.0,1.0315985130111522,0.9628252788104088
0.7,1.0,1.020220588235294,0.9522058823529411
0.8,1.0,1.0277777777777777,0.9364197530864198
0.9,1.0,1.0354477611940298,0.9894278606965174
1.0,1.0,1.022099447513812,1.022099447513812
